ROI,Effect,MeanEffect,StdEffect,StderrEffect
73,WProd,0.824811,0.866971,0.231708
73,SComp,0.050081,0.198042,0.052929
73,WComp,0.073611,0.248867,0.066513
73,Artic,0.894206,0.994826,0.265878
74,SProd,0.686682,0.581129,0.155313
74,EvSem,0.246736,0.338824,0.090555
74,WProd,0.692691,0.581376,0.155379
74,SComp,-0.062574,0.392343,0.104858
74,WComp,-0.009423,0.384808,0.102844
74,Artic,0.624575,0.622490,0.166367
75,SProd,0.144571,0.546746,0.146124
75,EvSem,-0.023128,0.437676,0.116974
75,WProd,0.254126,0.530892,0.141887
75,SComp,0.047931,0.301347,0.080538
75,WComp,0.100462,0.314165,0.083964
75,Artic,0.595466,0.783330,0.209354
76,SProd,0.543531,0.510891,0.136541
76,EvSem,0.158708,0.506900,0.135475
76,WProd,0.628561,0.585738,0.156545
76,SComp,0.129605,0.226919,0.060647
76,WComp,0.153114,0.365661,0.097727
76,Artic,0.858119,0.691051,0.184691
77,SProd,0.464478,0.882266,0.235796
77,EvSem,0.182673,0.809283,0.216290
77,WProd,0.851026,1.131010,0.302275
77,SComp,0.207445,0.574001,0.153408
77,WComp,0.219525,0.707775,0.189161
77,Artic,1.183319,1.210009,0.323389
78,SProd,0.382580,0.323933,0.086575
78,EvSem,0.128701,0.161626,0.043196
78,WProd,0.355283,0.367901,0.098326
78,SComp,0.063737,0.129380,0.034578
78,WComp,0.080528,0.167354,0.044727
78,Artic,0.499900,0.484797,0.129567
79,SProd,0.186342,0.385152,0.102936
79,EvSem,0.325388,0.540869,0.144553
79,WProd,0.383469,0.470882,0.125848
79,SComp,0.198962,0.342425,0.091517
79,WComp,0.290571,0.383040,0.102372
79,Artic,0.620322,0.648013,0.173189
80,SProd,0.707431,1.124984,0.300665
80,EvSem,0.859252,1.011996,0.270467
80,WProd,1.097085,1.593913,0.425991
80,SComp,0.415419,0.607229,0.162289
80,WComp,0.483089,0.835551,0.223311
80,Artic,1.146591,1.980589,0.529335
81,SProd,0.588914,0.488141,0.130461
81,EvSem,0.411070,0.384594,0.102787
81,WProd,0.679329,0.530012,0.141652
81,SComp,0.168469,0.321071,0.085810
81,WComp,0.253053,0.433680,0.115906
81,Artic,0.612657,0.619616,0.165599
82,SProd,0.486625,0.628042,0.167851
82,EvSem,0.083792,0.313572,0.083806
82,WProd,0.559149,0.743789,0.198786
82,SComp,0.077801,0.163136,0.043600
82,WComp,0.043658,0.173207,0.046291
82,Artic,0.635657,0.654935,0.175039
83,SProd,0.610727,1.211799,0.323867
83,EvSem,-0.295584,0.468879,0.125313
83,WProd,0.866958,1.416811,0.378659
83,SComp,0.045669,0.397870,0.106335
83,WComp,0.036380,0.462412,0.123585
83,Artic,1.096491,1.487952,0.397672
84,SProd,0.877748,1.652841,0.441740
84,EvSem,0.239318,0.528496,0.141247
84,WProd,0.695846,1.064314,0.284450
84,SComp,0.026870,0.796291,0.212818
84,WComp,0.028369,0.698047,0.186561
84,Artic,0.922879,1.258079,0.336236
85,SProd,0.282576,0.287502,0.076838
85,EvSem,0.177590,0.208340,0.055681
85,WProd,0.317270,0.362836,0.096972
85,SComp,0.095008,0.232306,0.062086
85,WComp,0.045209,0.236096,0.063099
85,Artic,0.388002,0.363393,0.097121
86,SProd,0.598329,0.695885,0.185983
86,EvSem,0.126815,0.560070,0.149685
86,WProd,0.647734,0.781346,0.208823
86,SComp,0.052973,0.324254,0.086661
86,WComp,0.187055,0.697443,0.186400
86,Artic,1.035223,0.837235,0.223761
87,SProd,1.580888,1.669256,0.446127
87,EvSem,0.898527,1.212205,0.323976
87,WProd,1.721197,1.748470,0.467298
87,SComp,0.533729,0.682894,0.182511
87,WComp,0.611676,0.615547,0.164512
87,Artic,1.386647,1.314762,0.351385
88,SProd,0.324554,0.566302,0.151351
88,EvSem,0.312123,0.484068,0.129373
88,WProd,0.720772,0.840607,0.224662
88,SComp,0.142792,0.239967,0.064134
88,WComp,0.159805,0.317279,0.084796
88,Artic,0.541343,0.596850,0.159515
89,SProd,0.223486,0.824195,0.220275
89,EvSem,0.079807,0.510769,0.136509
89,WProd,0.271153,0.669895,0.179037
89,SComp,-0.094364,0.556946,0.148850
89,WComp,-0.027913,0.641103,0.171342
89,Artic,0.636296,1.065316,0.284718
90,SProd,0.651497,0.632479,0.169037
90,EvSem,0.182490,0.329144,0.087967
90,WProd,0.672256,0.665734,0.177925
90,SComp,0.022691,0.230928,0.061718
90,WComp,-0.010986,0.192974,0.051574
90,Artic,0.579035,0.641555,0.171463
91,SProd,0.431413,0.985343,0.263344
91,EvSem,0.222973,0.586695,0.156801
91,WProd,0.620238,0.933580,0.249510
91,SComp,0.053481,0.603276,0.161232
91,WComp,0.005484,0.609004,0.162763
91,Artic,0.664898,1.035264,0.276686
92,SProd,0.526316,0.690962,0.184667
92,EvSem,0.076896,0.300094,0.080203
92,WProd,0.467140,0.519333,0.138798
92,SComp,-0.065493,0.293467,0.078432
92,WComp,-0.025354,0.357609,0.095575
92,Artic,0.604697,0.719965,0.192419
93,SProd,0.247085,0.779891,0.208435
93,EvSem,-0.001426,0.788038,0.210612
93,WProd,0.366723,0.989772,0.264528
93,SComp,0.049583,0.367646,0.098257
93,WComp,0.029326,0.657079,0.175612
93,Artic,0.476782,1.143006,0.305481
94,SProd,0.630279,1.130277,0.302079
94,EvSem,0.308308,0.680226,0.181798
94,WProd,0.846096,1.347390,0.360105
94,SComp,0.097268,0.406959,0.108764
94,WComp,-0.064482,0.250825,0.067036
94,Artic,0.666012,0.896025,0.239473
95,SProd,0.084777,0.248754,0.066482
95,EvSem,-0.037001,0.314060,0.083936
95,WProd,0.117193,0.266326,0.071179
95,SComp,-0.055383,0.167128,0.044667
95,WComp,0.000289,0.205627,0.054956
95,Artic,0.323770,0.435022,0.116265
96,SProd,0.454784,0.447526,0.119606
96,EvSem,0.311835,0.367921,0.098331
96,WProd,0.533601,0.491209,0.131281
96,SComp,0.055906,0.282691,0.075552
96,WComp,0.035547,0.210381,0.056227
96,Artic,0.483767,0.531632,0.142085
97,SProd,2.439273,3.939248,1.052808
97,EvSem,0.415179,0.784074,0.209553
97,WProd,2.697472,4.103264,1.096644
97,SComp,0.046267,1.020763,0.272810
97,WComp,0.127299,1.198090,0.320203
97,Artic,2.735695,4.136119,1.105424
98,SProd,0.514428,0.949460,0.253754
98,EvSem,0.015732,0.428820,0.114607
98,WProd,0.668113,1.018268,0.272144
98,SComp,-0.046781,0.381433,0.101942
98,WComp,-0.021162,0.316777,0.084662
98,Artic,0.755651,1.043646,0.278926
99,SProd,0.131934,0.191152,0.051087
99,EvSem,-0.029804,0.138894,0.037121
99,WProd,0.156903,0.220072,0.058817
99,SComp,-0.014360,0.080124,0.021414
99,WComp,0.019186,0.112294,0.030012
99,Artic,0.217595,0.295335,0.078932
100,SProd,0.305788,0.511551,0.136718
