W,PRON,Include,256,NL,NN,SFN,NBN,SFBN,NBF,NBE,SFBF,SFBE,NON,SFON,NPN,SFPN,BFNC,BFNT,TFNC,TFNT,BFSC,BFST,TFSC,TFST,NP
plisc,plIsk,1,,5,0,0,1,7,1,0,7,0,94,1857,0,0,502,501386,21,2788,84,23609,3,182,5
plogue,pl5g,1,,6,1,8,4,5,4,0,5,0,94,1857,2,21,541,160727,56,5924,94,15463,10,1462,4
plonch,plQnJ,1,,6,0,0,1,10,1,0,10,0,94,1857,0,0,980,615139,93,33486,172,35358,24,4423,5
plosque,plQsk,,,7,0,0,1,2,1,0,2,0,94,1857,1,3,697,235393,122,21985,52,5964,7,122,5
plouth,pl6T,1,,6,1,10,4,381,2,2,321,60,94,1857,2,1,955,2615081,94,70056,121,46046,18,1279,4
plybe,pl2b,1,,5,0,0,1,0,1,0,0,0,94,1857,3,8,261,211144,2,30,36,16335,0,0,4
prafe,pr1f,,,5,0,0,3,77,2,1,77,0,91,899,7,59,597,145476,48,4443,126,32258,8,562,4
prauce,pr9s,1,,6,1,0,1,15,1,0,15,0,91,899,3,285,726,226696,43,3308,131,22277,8,927,4
praught,pr9t,1,,7,1,3,5,172,5,0,172,0,91,899,4,185,804,337472,148,133590,77,55149,20,33314,4
preph,prEf,,,5,0,0,1,1,1,0,1,0,91,899,4,162,602,438613,21,5468,100,43723,6,2580,4
presh,prES,1,,5,2,200,4,126,4,0,126,0,91,899,4,140,1343,740715,74,21470,124,73936,12,9749,4
prirge,pr3_,,,6,0,0,1,0,1,0,0,0,91,899,0,0,751,279086,64,18959,123,27152,12,4127,4
prirque,pr3k,,,7,0,0,1,0,1,0,0,0,91,899,1,1,730,232119,87,10146,52,6915,3,358,4
proat,pr5t,1,,5,1,0,11,176,11,0,176,0,91,899,8,34,773,636059,91,16391,131,54017,22,3840,4
proil,pr4l,1,,5,2,1,9,196,9,0,196,0,91,899,3,1,737,348319,67,9487,117,40511,17,2971,4
prugue,prVg,,,6,0,0,1,1,0,1,0,1,91,899,5,31,508,126209,42,6364,87,14478,9,1323,4
pruice,prus,1,,6,0,0,2,21,2,0,21,0,91,899,8,329,529,236368,46,17139,91,18298,12,2453,4
prulge,prVl_,1,,6,0,0,1,5,1,0,5,0,91,899,0,0,571,228710,16,3198,84,15309,3,45,5
prurge,pr3_,,,6,0,0,4,30,4,0,30,0,91,899,0,0,645,204836,46,12532,91,33718,5,2731,4
psupe,sjup,,,5,0,0,1,0,1,0,0,0,3,3,7,1,544,147267,11,180,16,1964,1,12,4
psusp,sVsp,,,5,0,0,1,0,1,0,0,0,3,3,2,0,519,206441,2,3,25,24816,0,0,4
rhalp,r{lp,1,,5,0,0,2,4,2,0,4,0,5,9,1,2,393,700581,23,13311,74,31836,6,4163,4
rhalph,r{lf,,,6,0,0,1,48,0,1,0,48,5,9,0,0,419,705016,24,14166,62,17364,3,106,4
rhonk,rQNk,1,,5,0,0,4,5,3,1,1,4,5,9,6,17,448,482829,23,2150,91,71250,4,1608,4
rhunge,rVn_,1,,6,0,0,3,9,1,2,2,7,5,9,3,43,640,224717,90,26970,88,34471,13,5671,4
scrane,skr1n,,,6,1,5,13,145,13,0,145,0,45,183,4,65,1182,989319,177,25174,87,14692,22,1932,5
