production,img,hit,subject_np,vp,subject_np_head,vp_head
he is surfing,7114922111.jpg,1,he,is surfing,he,surfing
A man rides a wave with his sailboard.,7114922111.jpg,1,A man, rides a wave with his sailboard.,man,rides
A man is at the top of a wave surfing.,7114922111.jpg,1,A man, is at the top of a wave surfing.,man,is
A person is sailing.,7114922111.jpg,1,A person,is sailing.,person,sailing
A windsurfer is catching a wave.,7114922111.jpg,1,A windsurfer,is catching a wave.,windsurfer,catching
A man braces himself while wind surfing.,7114922111.jpg,1,A man, braces himself while wind surfing.,man,braces
A man is sail surfing on a wave.,7114922111.jpg,1,A man, is sail surfing on a wave.,man,sail surfing
A man is parasailing in the ocean.,7114922111.jpg,1,A man,is parasailing in the ocean.,man,parasailing
A man is windsurfing,7114922111.jpg,1,A man,is windsurfing,man,windsurfing
A man is surfing on blue waters with an orange and yellow surfboard.,7114922111.jpg,1,A man,is surfing on blue waters with an orange and yellow surfboard.,man,surfing
Someone is painting the ceiling,4041300706.jpg,1,Someone,is painting the ceiling,Someone,painting
A shirtless man is painting the ceiling with a roller brush.,4041300706.jpg,1,A shirtless man,is painting the ceiling with a roller brush.,man,painting
A man is painting the ceiling with a paint roller,4041300706.jpg,1,A man,is painting the ceiling with a paint roller,man,painting
A shirtless man is painting the room white with a very long painting wheel.,4041300706.jpg,1,A shirtless man,is painting the room white with a very long painting wheel.,man,painting
he is paint the wall,4041300706.jpg,1,he,is painting the wall,he,painting
A shirtless man is painting a ceiling white using a roller brush.,4041300706.jpg,1,A shirtless man,is painting a ceiling white using a roller brush.,man,painting
A man is painting the ceiling.,4041300706.jpg,1,A man,is painting the ceiling.,man,painting
A man is painting the ceiling.,4041300706.jpg,1,A man,is painting the ceiling.,man,painting
A man is painting the ceiling of a room.,4041300706.jpg,1,A man,is painting the ceiling of a room.,man,painting
A man reaches high to paint a ceiling.,4041300706.jpg,1,A man, reaches high to paint a ceiling.,man,reaches
A man paints a ceiling with a long paint roller.,4041300706.jpg,1,A man, paints a ceiling with a long paint roller.,man,paints
A shirtless man is using a long handled roller and is painting the ceiling of a white room white.,4041300706.jpg,1,A shirtless man,is using a long handled roller and is painting the ceiling of a white room white.,man,using
