ROI,Effect,MeanEffect,StdEffect,StderrEffect,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
7,WComp,-0.038329,0.488424,0.130537,E3,lang,S>N,ProdLoc_typed,IFGorb,1,RH
7,NProd,0.041862,0.724775,0.193704,E3,lang,S>N,ProdLoc_typed,IFGorb,1,RH
7,VisEvSem,0.386919,0.604719,0.161618,E3,lang,S>N,ProdLoc_typed,IFGorb,1,RH
8,SProd,0.352607,0.741508,0.198176,E3,lang,S>N,ProdLoc_typed,IFG,1,RH
8,WProd,-0.137738,1.035963,0.276873,E3,lang,S>N,ProdLoc_typed,IFG,1,RH
8,SComp,0.070678,0.802481,0.214472,E3,lang,S>N,ProdLoc_typed,IFG,1,RH
8,WComp,0.265378,0.573919,0.153386,E3,lang,S>N,ProdLoc_typed,IFG,1,RH
8,NProd,0.087192,1.306091,0.349067,E3,lang,S>N,ProdLoc_typed,IFG,1,RH
8,VisEvSem,0.711584,0.668191,0.178581,E3,lang,S>N,ProdLoc_typed,IFG,1,RH
9,SProd,0.459231,0.616259,0.164702,E3,lang,S>N,ProdLoc_typed,MFG,1,RH
9,WProd,0.48696,0.905508,0.242007,E3,lang,S>N,ProdLoc_typed,MFG,1,RH
9,SComp,0.109953,0.452052,0.120816,E3,lang,S>N,ProdLoc_typed,MFG,1,RH
9,WComp,0.416223,0.505022,0.134973,E3,lang,S>N,ProdLoc_typed,MFG,1,RH
9,NProd,0.655366,0.912671,0.243922,E3,lang,S>N,ProdLoc_typed,MFG,1,RH
9,VisEvSem,0.709852,0.676704,0.180857,E3,lang,S>N,ProdLoc_typed,MFG,1,RH
10,SProd,0.304679,0.68356,0.182689,E3,lang,S>N,ProdLoc_typed,AntTemp,1,RH
10,WProd,-0.03019,0.77724,0.207726,E3,lang,S>N,ProdLoc_typed,AntTemp,1,RH
10,SComp,0.20948,0.467028,0.124818,E3,lang,S>N,ProdLoc_typed,AntTemp,1,RH
10,WComp,0.148763,0.397452,0.106223,E3,lang,S>N,ProdLoc_typed,AntTemp,1,RH
10,NProd,0.14509,0.727468,0.194424,E3,lang,S>N,ProdLoc_typed,AntTemp,1,RH
10,VisEvSem,0.260554,0.392233,0.104829,E3,lang,S>N,ProdLoc_typed,AntTemp,1,RH
11,SProd,0.245758,0.571737,0.152803,E3,lang,S>N,ProdLoc_typed,PostTemp,1,RH
11,WProd,0.01504,0.659748,0.176325,E3,lang,S>N,ProdLoc_typed,PostTemp,1,RH
11,SComp,0.218265,0.499167,0.133408,E3,lang,S>N,ProdLoc_typed,PostTemp,1,RH
11,WComp,0.235177,0.345427,0.092319,E3,lang,S>N,ProdLoc_typed,PostTemp,1,RH
11,NProd,0.239621,0.599109,0.160119,E3,lang,S>N,ProdLoc_typed,PostTemp,1,RH
11,VisEvSem,0.158951,0.385051,0.102909,E3,lang,S>N,ProdLoc_typed,PostTemp,1,RH
12,SProd,0.179442,0.697067,0.186299,E3,lang,S>N,ProdLoc_typed,AngG,1,RH
12,WProd,-0.039779,0.873593,0.233478,E3,lang,S>N,ProdLoc_typed,AngG,1,RH
12,SComp,0.188454,0.375041,0.100234,E3,lang,S>N,ProdLoc_typed,AngG,1,RH
12,WComp,0.262388,0.504558,0.134849,E3,lang,S>N,ProdLoc_typed,AngG,1,RH
12,NProd,0.091304,0.779046,0.208209,E3,lang,S>N,ProdLoc_typed,AngG,1,RH
12,VisEvSem,0.602109,0.58119,0.15533,E3,lang,S>N,ProdLoc_typed,AngG,1,RH
1,S,1.12337,0.833188,0.240521,E2,lang,S>N,langloc,IFGorb,0,LH
1,N,0.056208,0.670226,0.193478,E2,lang,S>N,langloc,IFGorb,0,LH
2,S,1.774833,1.313138,0.37907,E2,lang,S>N,langloc,IFG,0,LH
2,N,0.458818,0.657528,0.189812,E2,lang,S>N,langloc,IFG,0,LH
3,S,1.968719,1.116719,0.322369,E2,lang,S>N,langloc,MFG,0,LH
3,N,0.500154,0.586947,0.169437,E2,lang,S>N,langloc,MFG,0,LH
